id,year,week,season,team,pf,pa,opp,win,loss
180,2014,2,r,DenR,126,123,The Boo,1,0
181,2014,2,r,Big Boy,94,81,Frankie,1,0
182,2014,2,r,Fig,115,94,Billy,1,0
183,2014,2,r,Rose,112,92,Taylor,1,0
184,2014,2,r,Nordy,118,136,AJ,0,1
185,2014,2,r,Timmy,85,127,Chad,0,1
186,2014,2,r,The Boo,123,126,DenR,0,1
187,2014,2,r,Frankie,81,94,Big Boy,0,1
188,2014,2,r,Billy,94,115,Fig,0,1
189,2014,2,r,Taylor,92,112,Rose,0,1
190,2014,2,r,AJ,136,118,Nordy,1,0
191,2014,3,r,Timmy,138,105,The Boo,1,0
192,2014,3,r,Frankie,108,120,Chad,0,1
193,2014,3,r,Big Boy,74,85,DenR,0,1
194,2014,3,r,Billy,103,114,Taylor,0,1
195,2014,3,r,AJ,97,100,Fig,0,1
196,2014,3,r,Nordy,125,78,Rose,1,0
197,2014,3,r,The Boo,105,138,Timmy,0,1
198,2014,3,r,Chad,120,108,Frankie,1,0
199,2014,3,r,DenR,85,74,Big Boy,1,0
200,2014,3,r,Taylor,114,103,Billy,1,0
201,2014,3,r,Fig,100,97,AJ,1,0
202,2014,3,r,Rose,78,125,Nordy,0,1
203,2014,4,r,Frankie,130,85,Timmy,1,0
204,2014,4,r,The Boo,158,154,Big Boy,1,0
205,2014,4,r,Chad,104,75,DenR,1,0
206,2014,4,r,AJ,79,102,Billy,0,1
207,2014,4,r,Taylor,88,120,Nordy,0,1
208,2014,4,r,Fig,108,121,Rose,0,1
209,2014,4,r,Timmy,85,130,Frankie,0,1
210,2014,4,r,Big Boy,154,158,The Boo,0,1
211,2014,4,r,DenR,75,104,Chad,0,1
212,2014,4,r,Billy,102,79,AJ,1,0
213,2014,4,r,Nordy,120,88,Taylor,1,0
214,2014,4,r,Rose,121,108,Fig,1,0
215,2014,5,r,Timmy,126,130,Big Boy,0,1
216,2014,5,r,DenR,103,72,Frankie,1,0
217,2014,5,r,Chad,101,100,The Boo,1,0
218,2014,5,r,Billy,143,117,Nordy,1,0
219,2014,5,r,Rose,155,114,AJ,1,0
220,2014,5,r,Fig,76,78,Taylor,0,1
221,2014,5,r,Big Boy,130,126,Timmy,1,0
222,2014,5,r,Frankie,72,103,DenR,0,1
223,2014,5,r,The Boo,100,101,Chad,0,1
224,2014,5,r,Nordy,117,143,Billy,0,1
225,2014,5,r,AJ,114,155,Rose,0,1
226,2014,5,r,Taylor,78,76,Fig,1,0
227,2014,6,r,Billy,122,118,Timmy,1,0
228,2014,6,r,Rose,125,76,DenR,1,0
229,2014,6,r,Fig,90,94,Chad,0,1
230,2014,6,r,Taylor,72,157,The Boo,0,1
231,2014,6,r,AJ,99,98,Frankie,1,0
232,2014,6,r,Nordy,108,147,Big Boy,0,1
